P,S,T,S^2,PxS,Px(S^2),(P^2) xS,(P^2) x (S^2),Temp
11,1893,780,3583449,20823,39417939,229053,433597329,48
11,2005,2230,4020025,22055,44220275,242605,486423025,47
11,1991,2240,3964081,21901,43604891,240911,479653801,47
11,1977,2250,3908529,21747,42993819,239217,472932009,46
11,1712,2400,2930944,18832,32240384,207152,354644224,39
12,1920,770,3686400,23040,44236800,276480,530841600,48
12,2048,2210,4194304,24576,50331648,294912,603979776,48
12,2031,2220,4124961,24372,49499532,292464,593994384,48
12,1889,790,3568321,22668,42819852,272016,513838224,47
12,1974,2260,3896676,23688,46760112,284256,561121344,45
12,1943,2270,3775249,23316,45302988,279792,543635856,45
12,1671,2390,2792241,20052,33506892,240624,402082704,39
13,2083,2190,4338889,27079,56405557,352027,733272241,48
13,2055,2200,4223025,26715,54899325,347295,713691225,48
13,1875,800,3515625,24375,45703125,316875,594140625,46
13,1837,810,3374569,23881,43869397,310453,570302161,45
13,1832,820,3356224,23816,43630912,309608,567201856,45
13,1942,2280,3771364,25246,49027732,328198,637360516,44
13,1532,10,2347024,19916,30511312,258908,396647056,41
13,1716,2370,2944656,22308,38280528,290004,497646864,41
13,1696,2380,2876416,22048,37393408,286624,486114304,40
14,2144,2160,4596736,30016,64354304,420224,900960256,51
14,2140,2170,4579600,29960,64114400,419440,897601600,50
14,2126,2180,4519876,29764,63278264,416696,885895696,49
14,1816,830,3297856,25424,46169984,355936,646379776,45
14,1633,40,2666689,22862,37333646,320068,522671044,44
14,1672,50,2795584,23408,39138176,327712,547934464,44
14,1799,840,3236401,25186,45309614,352604,634334596,44
14,1895,2290,3591025,26530,50274350,371420,703840900,44
14,1620,30,2624400,22680,36741600,317520,514382400,43
14,1772,850,3139984,24808,43959776,347312,615436864,43
14,1573,20,2474329,22022,34640606,308308,484968484,42
14,1792,2340,3211264,25088,44957696,351232,629407744,42
14,1756,2350,3083536,24584,43169504,344176,604373056,41
14,1718,2360,2951524,24052,41321336,336728,578498704,41
14,1541,500,2374681,21574,33245534,302036,465437476,40
14,1535,510,2356225,21490,32987150,300860,461820100,39
14,1553,520,2411809,21742,33765326,304388,472714564,39
15,1955,1670,3822025,29325,57330375,439875,859955625,50
15,2118,2150,4485924,31770,67288860,476550,1009332900,50
15,2117,2140,4481689,31755,67225335,476325,1008380025,49
15,1691,80,2859481,25365,42892215,380475,643383225,46
15,1720,90,2958400,25800,44376000,387000,665640000,46
15,1731,100,2996361,25965,44945415,389475,674181225,46
15,1679,60,2819041,25185,42285615,377775,634284225,45
15,1680,70,2822400,25200,42336000,378000,635040000,45
15,1732,860,2999824,25980,44997360,389700,674960400,43
15,1692,870,2862864,25380,42942960,380700,644144400,43
15,1561,1490,2436721,23415,36550815,351225,548262225,43
15,1880,2300,3534400,28200,53016000,423000,795240000,43
15,1485,1470,2205225,22275,33078375,334125,496175625,42
15,1518,1480,2304324,22770,34564860,341550,518472900,42
15,1820,2330,3312400,27300,49686000,409500,745290000,42
15,1444,1460,2085136,21660,31277040,324900,469155600,41
15,1553,490,2411809,23295,36177135,349425,542657025,40
15,1621,540,2627641,24315,39414615,364725,591219225,40
15,1575,530,2480625,23625,37209375,354375,558140625,39
16,2105,2130,4431025,33680,70896400,538880,1134342400,48
16,1756,110,3083536,28096,49336576,449536,789385216,47
16,1766,120,3118756,28256,49900096,452096,798401536,47
16,2067,2120,4272489,33072,68359824,529152,1093757184,47
16,2048,2110,4194304,32768,67108864,524288,1073741824,46
16,1640,1510,2689600,26240,43033600,419840,688537600,45
16,2034,2100,4137156,32544,66194496,520704,1059111936,45
16,1594,1500,2540836,25504,40653376,408064,650454016,44
16,1633,450,2666689,26128,42667024,418048,682672384,42
16,1597,460,2550409,25552,40806544,408832,652904704,42
16,1697,570,2879809,27152,46076944,434432,737231104,42
16,1650,880,2722500,26400,43560000,422400,696960000,42
16,1625,890,2640625,26000,42250000,416000,676000000,42
16,1868,2310,3489424,29888,55830784,478208,893292544,42
16,1848,2320,3415104,29568,54641664,473088,874266624,42
16,1564,470,2446096,25024,39137536,400384,626200576,41
16,1666,560,2775556,26656,44408896,426496,710542336,41
16,1603,900,2569609,25648,41113744,410368,657819904,41
16,1559,480,2430481,24944,38887696,399104,622203136,40
16,1660,550,2755600,26560,44089600,424960,705433600,40
16,1440,1450,2073600,23040,33177600,368640,530841600,40
17,1787,130,3193369,30379,54287273,516443,922883641,47
17,1799,140,3236401,30583,55018817,519911,935319889,47
17,1672,1520,2795584,28424,47524928,483208,807923776,46
17,1714,1530,2937796,29138,49942532,495346,849023044,46
17,2028,2090,4112784,34476,69917328,586092,1188594576,44
17,1639,440,2686321,27863,45667457,473671,776346769,42
17,1741,580,3031081,29597,51528377,503149,875982409,42
17,1586,910,2515396,26962,42761732,458354,726949444,41
