P,S,T,S^2,PxS,Px(S^2),(P^2) xS,(P^2) x (S^2),Temp
13,1532,10,2347024,19916,30511312,258908,396647056,41
14,1573,20,2474329,22022,34640606,308308,484968484,42
14,1620,30,2624400,22680,36741600,317520,514382400,43
14,1633,40,2666689,22862,37333646,320068,522671044,44
14,1672,50,2795584,23408,39138176,327712,547934464,44
15,1679,60,2819041,25185,42285615,377775,634284225,45
15,1680,70,2822400,25200,42336000,378000,635040000,45
15,1691,80,2859481,25365,42892215,380475,643383225,46
15,1720,90,2958400,25800,44376000,387000,665640000,46
15,1731,100,2996361,25965,44945415,389475,674181225,46
16,1756,110,3083536,28096,49336576,449536,789385216,47
16,1766,120,3118756,28256,49900096,452096,798401536,47
17,1787,130,3193369,30379,54287273,516443,922883641,47
17,1799,140,3236401,30583,55018817,519911,935319889,47
18,1800,150,3240000,32400,58320000,583200,1049760000,47
19,1802,160,3247204,34238,61696876,650522,1172240644,47
19,1834,170,3363556,34846,63907564,662074,1214243716,47
20,1866,180,3481956,37320,69639120,746400,1392782400,48
20,1895,190,3591025,37900,71820500,758000,1436410000,49
21,1921,200,3690241,40341,77495061,847161,1627396281,50
22,1961,210,3845521,43142,84601462,949124,1861232164,50
23,2006,220,4024036,46138,92552828,1061174,2128715044,50
24,2198,230,4831204,52752,115948896,1266048,2782773504,53
27,2236,240,4999696,60372,134991792,1630044,3644778384,56
29,2119,250,4490161,61451,130214669,1782079,3776225401,58
30,2065,260,4264225,61950,127926750,1858500,3837802500,55
26,2042,270,4169764,53092,108413864,1380392,2818760464,52
23,2021,280,4084441,46483,93942143,1069109,2160669289,50
22,1996,290,3984016,43912,87648352,966064,1928263744,49
22,1971,300,3884841,43362,85466502,953964,1880263044,49
22,1939,310,3759721,42658,82713862,938476,1819704964,49
21,1931,320,3728761,40551,78303981,851571,1644383601,48
20,1884,330,3549456,37680,70989120,753600,1419782400,48
20,1870,340,3496900,37400,69938000,748000,1398760000,47
19,1857,350,3448449,35283,65520531,670377,1244890089,47
19,1839,360,3381921,34941,64256499,663879,1220873481,47
19,1825,370,3330625,34675,63281875,658825,1202355625,46
18,1800,380,3240000,32400,58320000,583200,1049760000,46
18,1773,390,3143529,31914,56583522,574452,1018503396,45
18,1770,400,3132900,31860,56392200,573480,1015059600,44
18,1737,410,3017169,31266,54309042,562788,977562756,43
18,1706,420,2910436,30708,52387848,552744,942981264,43
18,1665,430,2772225,29970,49900050,539460,898200900,42
17,1639,440,2686321,27863,45667457,473671,776346769,42
16,1633,450,2666689,26128,42667024,418048,682672384,42
16,1597,460,2550409,25552,40806544,408832,652904704,42
16,1564,470,2446096,25024,39137536,400384,626200576,41
16,1559,480,2430481,24944,38887696,399104,622203136,40
15,1553,490,2411809,23295,36177135,349425,542657025,40
14,1541,500,2374681,21574,33245534,302036,465437476,40
14,1535,510,2356225,21490,32987150,300860,461820100,39
14,1553,520,2411809,21742,33765326,304388,472714564,39
15,1575,530,2480625,23625,37209375,354375,558140625,39
15,1621,540,2627641,24315,39414615,364725,591219225,40
16,1660,550,2755600,26560,44089600,424960,705433600,40
16,1666,560,2775556,26656,44408896,426496,710542336,41
16,1697,570,2879809,27152,46076944,434432,737231104,42
17,1741,580,3031081,29597,51528377,503149,875982409,42
18,1762,590,3104644,31716,55883592,570888,1005904656,43
18,1773,600,3143529,31914,56583522,574452,1018503396,44
19,1788,610,3196944,33972,60741936,645468,1154096784,45
20,1816,620,3297856,36320,65957120,726400,1319142400,45
21,1845,630,3404025,38745,71484525,813645,1501175025,46
22,1853,640,3433609,40766,75539398,896852,1661866756,47
21,1891,650,3575881,39711,75093501,833931,1576963521,48
20,1929,660,3721041,38580,74420820,771600,1488416400,48
19,1962,670,3849444,37278,73139436,708282,1389649284,48
18,2010,680,4040100,36180,72721800,651240,1308992400,49
19,2047,690,4190209,38893,79613971,738967,1512665449,49
21,2052,700,4210704,43092,88424784,904932,1856920464,50
23,2116,710,4477456,48668,102981488,1119364,2368574224,51
29,2449,720,5997601,71021,173930429,2059609,5043982441,53
24,2215,730,4906225,53160,117749400,1275840,2825985600,59
23,2098,740,4401604,48254,101236892,1109842,2328448516,55
22,1967,750,3869089,43274,85119958,952028,1872639076,52
21,1923,760,3697929,40383,77656509,848043,1630786689,49
12,1920,770,3686400,23040,44236800,276480,530841600,48
11,1893,780,3583449,20823,39417939,229053,433597329,48
12,1889,790,3568321,22668,42819852,272016,513838224,47
13,1875,800,3515625,24375,45703125,316875,594140625,46
13,1837,810,3374569,23881,43869397,310453,570302161,45
13,1832,820,3356224,23816,43630912,309608,567201856,45
14,1816,830,3297856,25424,46169984,355936,646379776,45
14,1799,840,3236401,25186,45309614,352604,634334596,44
14,1772,850,3139984,24808,43959776,347312,615436864,43
15,1732,860,2999824,25980,44997360,389700,674960400,43
15,1692,870,2862864,25380,42942960,380700,644144400,43
16,1650,880,2722500,26400,43560000,422400,696960000,42
16,1625,890,2640625,26000,42250000,416000,676000000,42
16,1603,900,2569609,25648,41113744,410368,657819904,41
17,1586,910,2515396,26962,42761732,458354,726949444,41
18,1578,920,2490084,28404,44821512,511272,806787216,40
18,1569,930,2461761,28242,44311698,508356,797610564,39
19,1579,940,2493241,30001,47371579,570019,900060001,39
20,1605,950,2576025,32100,51520500,642000,1030410000,40
27,1653,960,2732409,44631,73775043,1205037,1991926161,41
26,1662,970,2762244,43212,71818344,1123512,1867276944,42
25,1695,980,2873025,42375,71825625,1059375,1795640625,42
25,1725,990,2975625,43125,74390625,1078125,1859765625,42
25,1759,1000,3094081,43975,77352025,1099375,1933800625,42
24,1800,1010,3240000,43200,77760000,1036800,1866240000,42
23,1800,1020,3240000,41400,74520000,952200,1713960000,43
22,1816,1030,3297856,39952,72552832,878944,1596162304,43
22,1854,1040,3437316,40788,75620952,897336,1663660944,44
22,1854,1050,3437316,40788,75620952,897336,1663660944,45
22,1861,1060,3463321,40942,76193062,900724,1676247364,46
22,1889,1070,3568321,41558,78503062,914276,1727067364,47
21,1908,1080,3640464,40068,76449744,841428,1605444624,48
20,1955,1090,3822025,39100,76440500,782000,1528810000,48
20,1963,1100,3853369,39260,77067380,785200,1541347600,49
19,1967,1110,3869089,37373,73512691,710087,1396741129,50
18,1974,1120,3896676,35532,70140168,639576,1262523024,50
18,1983,1130,3932289,35694,70781202,642492,1274061636,50
18,1988,1140,3952144,35784,71138592,644112,1280494656,50
18,2003,1150,4012009,36054,72216162,648972,1299890916,51
18,2110,1160,4452100,37980,80137800,683640,1442480400,51
21,2332,1170,5438224,48972,114202704,1028412,2398256784,54
18,2662,1180,7086244,47916,127552392,862488,2295943056,57
19,2426,1190,5885476,46094,111824044,875786,2124656836,53
19,1955,1200,3822025,37145,72618475,705755,1379751025,50
19,1945,1210,3783025,36955,71877475,702145,1365672025,50
20,1904,1220,3625216,38080,72504320,761600,1450086400,49
20,1894,1230,3587236,37880,71744720,757600,1434894400,49
21,1858,1240,3452164,39018,72495444,819378,1522404324,49
21,1854,1250,3437316,38934,72183636,817614,1515856356,49
22,1849,1260,3418801,40678,75213622,894916,1654699684,48
22,1849,1270,3418801,40678,75213622,894916,1654699684,47
